timestamp,load_avg,mem_used_mb,mem_total_mb,disk_pct
2026-05-03T22:03:41Z,1.57,225,512,18
2026-05-03T22:13:42Z,0.95,226,512,18
2026-05-03T22:23:44Z,0.93,226,512,18
2026-05-03T22:33:45Z,1.67,225,512,18
2026-05-03T22:43:46Z,0.64,226,512,18
2026-05-03T22:53:48Z,1.05,226,512,18
2026-05-03T23:03:49Z,1.12,226,512,18
2026-05-03T23:13:50Z,0.83,225,512,18
2026-05-03T23:23:52Z,1.30,226,512,18
2026-05-03T23:33:53Z,0.76,227,512,18
2026-05-03T23:43:54Z,1.17,227,512,18
2026-05-03T23:53:56Z,0.78,226,512,18
2026-05-04T00:03:57Z,1.50,225,512,18
2026-05-04T00:13:58Z,1.13,226,512,18
2026-05-04T00:24:00Z,1.85,227,512,18
2026-05-04T00:34:01Z,1.03,227,512,18
2026-05-04T00:44:02Z,0.79,225,512,18
2026-05-04T00:54:04Z,0.82,226,512,18
2026-05-04T01:04:05Z,2.39,226,512,18
2026-05-04T01:14:06Z,1.08,226,512,18
2026-05-04T01:24:07Z,1.08,226,512,18
2026-05-04T01:34:09Z,2.02,226,512,18
2026-05-04T01:44:10Z,1.50,226,512,18
2026-05-04T01:54:11Z,1.00,227,512,18
2026-05-04T02:04:13Z,1.08,227,512,18
2026-05-04T02:14:14Z,2.27,227,512,18
2026-05-04T02:24:15Z,1.26,228,512,18
2026-05-04T02:34:17Z,1.49,227,512,18
2026-05-04T02:44:18Z,1.16,227,512,18
2026-05-04T02:54:19Z,1.06,227,512,18
2026-05-04T03:04:21Z,1.57,226,512,18
2026-05-04T03:14:22Z,0.72,226,512,18
2026-05-04T03:24:23Z,1.17,227,512,18
2026-05-04T03:34:25Z,1.10,226,512,18
2026-05-04T03:44:26Z,0.65,227,512,18
2026-05-04T03:54:27Z,1.53,226,512,18
2026-05-04T04:04:29Z,0.72,226,512,18
2026-05-04T04:14:30Z,1.59,226,512,18
2026-05-04T04:24:31Z,1.71,226,512,18
2026-05-04T04:34:33Z,0.96,226,512,18
2026-05-04T04:44:34Z,1.44,226,512,18
2026-05-04T04:54:35Z,1.07,226,512,18
2026-05-04T05:04:37Z,1.49,227,512,18
2026-05-04T05:14:38Z,1.94,226,512,18
2026-05-04T05:24:39Z,1.81,227,512,18
2026-05-04T05:34:41Z,2.38,226,512,18
2026-05-04T05:44:42Z,1.85,227,512,18
2026-05-04T05:54:44Z,1.25,226,512,18
